,da,alpha,a,R,N0,axf,xc,yc,mag,AR,lead
0,0.32621733655020935,0.33697424852936314,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,56.44108271665996,46.41063920780361,0,9366,1
1,0.34351438902121123,0.32263644228738037,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,57.70577457743968,46.54190761978685,5,9366,1
2,0.36207116517381055,0.28886566240870876,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,58.43385023509675,46.13729766702408,10,9366,1
3,0.3661583833762794,0.2630090345050576,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,59.09383575621776,45.90634080214431,15,9366,1
4,0.3766418917337851,0.25594496472453604,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,58.838866170381614,45.682844410034015,20,9366,1
5,0.3860253665484715,0.2304838009719197,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,59.07870767817905,45.2892273000026,25,9366,1
6,0.3855930900376432,0.19989988924402635,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,59.991654491149546,44.963171635331996,30,9366,1
7,0.37675868868324724,0.18157130756527773,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,60.420405940972664,44.78451027500259,35,9366,1
8,0.37698653232417445,0.1592843319161095,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,61.88137203779236,44.0168341470429,40,9366,1
9,0.3802576545572649,0.175297406620221,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,62.17468729119876,43.924962325292725,45,9366,1
10,0.38060723561420284,0.18382848329320933,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,62.98555768129939,43.8303745199819,50,9366,1
11,0.3697118603226746,0.181653106512575,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,63.57811531725485,43.95807508434723,55,9366,1
12,0.3481218937426172,0.18555920751359645,14.690434953801942,44.21411722460373,-0.1289795704939414,607656.6714025857,63.34302260726989,44.04582646463662,60,9366,1
0,0.2312223746868825,-0.24929440389574017,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,76.15094878454404,45.335504894014754,0,9368,-1
1,0.09771545791030142,-0.20792124409324847,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,75.13774605853519,44.71636546184594,5,9368,-1
2,0.11338421643073861,-0.2199546456068195,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,74.15022586843574,44.30206585360451,10,9368,-1
3,0.13231259466011844,-0.21509559421330973,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,74.13655293083491,43.53251141542407,15,9368,-1
4,0.15201842515480354,-0.22473212322558092,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,75.50066704186742,42.136230313716695,20,9368,-1
5,0.1668090930414828,-0.2238040826394345,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,76.65698153554689,41.423734024392516,25,9368,-1
6,0.1812573159101596,-0.20849595257974832,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,77.35412311636236,40.92727884830727,30,9368,-1
7,0.19837384137557146,-0.18681246357363432,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,77.67939918663997,40.52004758419903,35,9368,-1
8,0.21111962619083335,-0.17374664874162138,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,78.1644087937899,41.053550877975354,40,9368,-1
9,0.21994781251405052,-0.16795406819160777,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,78.95822024850342,41.22341963760905,45,9368,-1
10,0.23165413532293336,-0.17020350058533867,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,79.33324803169725,41.42525628255888,50,9368,-1
11,0.23881579221882815,-0.17062590438973696,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,79.42008786560184,41.457731976212514,55,9368,-1
12,0.24043174326891698,-0.17464432809815766,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,80.16307302835398,41.220420753669096,60,9368,-1
13,0.22673125570770333,-0.1693200390355086,7.396612482300579,64.6574087626059,0.32013558841949563,632956.5817118407,80.99634253101763,40.99406918463715,65,9368,-1
0,0.0061688452732725635,-0.7996162868875938,21.902435884284493,49.612682254047186,-1.2052017002989808,1229637.5438854084,55.0313797388892,39.45344188430888,0,9370,-1
1,0.07611908495958716,-0.5771376851401266,21.902435884284493,49.612682254047186,-1.2052017002989808,1229637.5438854084,56.22059396558937,38.49942578048135,5,9370,-1
2,0.12694067594608463,-0.5439085485190389,21.902435884284493,49.612682254047186,-1.2052017002989808,1229637.5438854084,57.156300546844506,38.186767631303006,10,9370,-1
3,0.1580870790955562,-0.5361355700623007,21.902435884284493,49.612682254047186,-1.2052017002989808,1229637.5438854084,57.2788971922555,37.963153191537394,15,9370,-1
4,0.18496045693168792,-0.6267735435342047,21.902435884284493,49.612682254047186,-1.2052017002989808,1229637.5438854084,57.179614110832254,37.72999218509808,20,9370,-1
5,0.2208974129073502,-0.7081782283141406,21.902435884284493,49.612682254047186,-1.2052017002989808,1229637.5438854084,56.87366902343121,38.16924845657828,25,9370,-1
6,0.251089049184948,-0.6813455372502468,21.902435884284493,49.612682254047186,-1.2052017002989808,1229637.5438854084,55.766982256314584,38.265174878943164,30,9370,-1
7,0.2398262560988337,-0.6517398832768764,21.902435884284493,49.612682254047186,-1.2052017002989808,1229637.5438854084,54.45438645582771,38.276499912334096,35,9370,-1
