mag,da,alpha,xc,yc,a,R,N0,axf,AR,lead,sig,alphab,sar,flux,fluxp,fluxn,fint,lat,spt
0.0,1.4917481532465248e-06,-0.0395814230679498,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-53.46773581042843,0.7764622193442843,5.389245168311213e+19,3.800670407383775e+19,6.977819929238652e+19,0.005393084041783922,16,1
1.0,0.0111122407381191,-0.0397310293552701,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-21.7995787822459,4.903722271697019,1.028970492642019e+20,8.920710498568705e+19,1.1658699354271674e+20,0.010297034501165888,16,1
2.0,0.0222229897280851,-0.0398806356425904,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,2.3521997318597405,5.295750889667976,1.0334035689513633e+20,1.0947005582893223e+20,9.721065796134044e+19,0.010341396842000769,16,1
3.0,0.0333337387180512,-0.0400302419299107,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,4.422519378808488,2.120133716929543,1.1460100769576596e+20,9.946918051390988e+19,1.2973283487762206e+20,0.011468264042069298,16,1
4.0,0.0444444877080173,-0.040179848217231,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,39.93448144312705,4.240342224853084,6.913005335429559e+19,5.484623933639526e+19,8.341386737219594e+19,0.006917929615541164,16,1
5.0,0.0555552366979835,-0.0403294545045513,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-1.904866051935625,4.176977329897564,7.199172225837186e+19,4.922030974066109e+19,9.476313477608263e+19,0.007204300348685582,16,1
6.0,0.0666659856879497,-0.0404790607918716,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-0.4976352267632421,3.5332046636337546,8.199201008919516e+19,5.830555006562412e+19,1.0567847011276621e+20,0.008205041473449805,16,1
7.0,0.0777767346779159,-0.0406286670791919,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,32.59167559344682,3.421560613086912,8.585727356132993e+19,5.575295184294745e+19,1.1596159527971242e+20,0.00859184315156668,16,1
8.0,0.0888874836678822,-0.0407782733665121,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,7.215876413254533,1.9690217710018494,9.145848170846179e+19,5.855203221715983e+19,1.2436493119976373e+20,0.009152362952199034,16,1
9.0,0.0999982326578484,-0.0409278796538324,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-62.13274302849633,3.070257131750336,1.0019001638701359e+20,6.4064862453425316e+19,1.3631517032060187e+20,0.010026138385761966,16,1
10.0,0.1111089816478147,-0.0410774859411527,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-13.933740323470639,2.657167146318602,1.7132131195613623e+20,1.3688466006783774e+20,2.0575796384443472e+20,0.017144334775507246,16,1
11.0,0.122219730637781,-0.041227092228473,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-19.429102156227163,1.9878096678700348,1.786108081634102e+20,1.4145550266034592e+20,2.157661136664745e+20,0.01787380364248798,16,1
12.0,0.1333304796277473,-0.0413766985157933,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-19.767239037827274,2.2128194269841805,1.899558577753205e+20,1.5779707543620773e+20,2.221146401144333e+20,0.01900911673559065,16,1
13.0,0.1444412286177135,-0.0415263048031135,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,12.343596081863746,4.200319721382016,1.2041027376891793e+20,9.825151581832602e+19,1.4256903171950984e+20,0.012049604455710383,16,1
14.0,0.1555519776076797,-0.0416759110904338,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-3.125517466982556,5.45189673956246,1.2526464719671866e+20,8.77988636728797e+19,1.627304307205576e+20,0.01253538758579084,16,1
15.0,0.1666627265976459,-0.0418255173777541,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,20.80959534005216,4.825837316384001,1.5987868708087182e+20,7.937624646588903e+19,2.4038112769585463e+20,0.0159992572055765,16,1
16.0,0.1777734755876121,-0.0419751236650744,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-41.23379041372117,1.5390042069033498,2.149043199297011e+20,9.605544998508003e+19,3.337531898743222e+20,0.021505740082826547,16,1
17.0,0.1888842245775783,-0.0421247299523947,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-11.85953675872631,3.4892314308374472,3.3634710747691614e+20,2.4042141604706723e+20,4.322727989067651e+20,0.033658669464509836,16,1
18.0,0.1999949735675444,-0.042274336239715,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,30.01930668737224,0.7303592016088368,3.976949768188545e+20,2.7233435301469605e+20,5.2305560062301294e+20,0.039797826337366116,16,1
19.0,0.2111057225575104,-0.0424239425270353,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-0.9973989015881168,2.4554687927830012,4.329267918288359e+20,3.081510034767967e+20,5.577025801808752e+20,0.04332351747516521,16,1
20.0,0.2222164715474764,-0.0425735488143556,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-26.320580546695695,3.9721364989676404,4.9081920115904564e+20,3.3739020784721016e+20,6.442481944708811e+20,0.04911688220711364,16,1
21.0,0.2333272205374424,-0.0427231551016759,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-1.2193139929293046,9.911780410446267,6.248869589621219e+20,3.805648164014456e+20,8.692091015227982e+20,0.06253320791775292,16,1
22.0,0.2444379695274084,-0.0428727613889962,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-3.078179771864254,11.924986158230153,7.098260679405442e+20,4.4680420476177246e+20,9.72847931119316e+20,0.071033169208221,16,1
23.0,0.2555487185173744,-0.0430223676763165,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-1.687579218820108,13.50297598617836,7.795138065557541e+20,4.9202779656717946e+20,1.0669998165443289e+21,0.07800690707495586,16,1
