,da,alpha,a,R,N0,axf,xc,yc,mag,AR,lead
0,0.06232773767145781,-0.297060098865905,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,32.40208795041223,35.43744435279036,0,10268,1
1,0.15759264151195135,-0.3818989885616408,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,32.512985217023484,35.17943772814158,5,10268,1
2,0.1997417753947828,-0.28495701544773394,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,33.43873336281317,34.63073442658466,10,10268,1
3,0.25413749250653167,-0.18653064339477077,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,34.22762330053062,34.45460957840559,15,10268,1
4,0.3424743073002699,-0.18863465342531782,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,34.733216200617406,33.95624306243402,20,10268,1
5,0.40916904023842876,-0.26329505722861024,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,35.58255448331713,35.48271614165721,25,10268,1
6,0.413154456478319,-0.3738285731086185,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,34.64614725265474,35.80716026640918,30,10268,1
7,0.42516503139392353,-0.4220243620250821,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,34.39021705407234,35.78147436651533,35,10268,1
8,0.45109565993717043,-0.43875452678400273,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,34.31290178922746,35.363969449645786,40,10268,1
9,0.5611958455571101,-0.4164467166161917,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,33.6157150918212,35.19977977857797,45,10268,1
10,0.6713928404384563,-0.3784713599085052,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,32.87184456619681,35.03130873830793,50,10268,1
11,0.7903530650200151,-0.3974702729078624,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,32.08274615157464,35.19038902241176,55,10268,1
12,0.9270143941126059,-0.36157335168807775,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,31.256551225607776,34.86461980456356,60,10268,1
13,0.9166495864933358,-0.3578380785395753,5.442873052856688,9.92111035362008,-0.9396819522794685,158628.85229178547,31.110173808325328,34.691747865995076,65,10268,1
0,0.05180401223096843,-0.13644484917227168,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,43.0311517984525,16.729321120301005,0,10274,1
1,0.13273497664220157,-0.29619522172805796,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,43.72454528284662,16.648149690785772,5,10274,1
2,0.219201300880929,-0.24981063057856814,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,44.592467879283745,16.606650831100207,10,10274,1
3,0.3552402388495644,-0.14221279676842283,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,47.41434003245323,16.642945634500094,15,10274,1
4,0.44531071117106347,-0.0971357067891866,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,49.75440736061651,16.727885689406584,20,10274,1
5,0.5230178002459555,-0.0905545279872958,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,50.624748438546646,16.81236456866953,25,10274,1
6,0.5793466782260167,-0.09241406641954984,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,51.38801203514515,17.176594499281478,30,10274,1
7,0.6021849436643814,-0.05478207639389879,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,51.449872621027524,17.407543229935666,35,10274,1
8,0.6723518948488426,-0.0770595004083139,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,51.36684997292636,17.367539617936572,40,10274,1
9,0.711991337583975,-0.034004130581770646,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,51.0862836132465,17.289560345635184,45,10274,1
10,0.6910567862245174,0.005759657011966879,6.54263887720312,16.746898898391823,1.453698058275433,157342.68085481875,51.43635173251038,17.94728465258846,50,10274,1
0,0.02411031908365531,0.12178599615208224,11.69527850987728,19.419892106791043,-0.7380695290967704,255529.63059532756,46.0321816385607,34.47966510871496,0,8056,1
1,0.3539511547855407,-0.17957638564263906,11.69527850987728,19.419892106791043,-0.7380695290967704,255529.63059532756,41.133993159407034,35.47615314008678,5,8056,1
2,0.4269269284409511,-0.5579934959240154,11.69527850987728,19.419892106791043,-0.7380695290967704,255529.63059532756,41.82668105266057,36.04945777048149,10,8056,1
3,0.49858929459720636,-0.6320341451709532,11.69527850987728,19.419892106791043,-0.7380695290967704,255529.63059532756,44.05319316941129,35.24544335129305,15,8056,1
4,0.6896118641328151,-0.5230409224978352,11.69527850987728,19.419892106791043,-0.7380695290967704,255529.63059532756,43.956978399692396,35.07577766468006,20,8056,1
5,0.7998250706704626,-0.47491522228706806,11.69527850987728,19.419892106791043,-0.7380695290967704,255529.63059532756,44.3623821383542,34.26256837849586,25,8056,1
6,0.927959412387968,-0.35322653159166556,11.69527850987728,19.419892106791043,-0.7380695290967704,255529.63059532756,45.3712485041484,33.777847043941925,30,8056,1
0,0.4403801500097481,0.0010210082509209287,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,37.264197873089074,31.58652935243718,0,8060,1
1,0.38914119153054466,0.027839920640104224,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,37.654523017719164,31.830818736056706,5,8060,1
2,0.3875677387958679,0.03502261097079401,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,36.5152448938127,32.22919686409171,10,8060,1
3,0.45573739325652557,-0.07665928395624066,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,36.721192563053464,32.96564503850676,15,8060,1
4,0.5484142185088134,-0.04074094240231813,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,37.003460294533156,33.17422179142617,20,8060,1
5,0.663381934824659,0.07164185310833412,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,36.32700953814007,33.30211775097475,25,8060,1
6,0.689590766279544,0.16239798804683694,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,36.92880277909945,33.92191205787164,30,8060,1
7,0.6245706315245103,0.21950094377030457,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,37.02229263418503,33.44912387355729,35,8060,1
8,0.5107079575110608,0.2938443308939753,11.224901764653758,15.54899728142767,0.21000882914385666,194712.8024327364,37.97578129940327,33.278554716676794,40,8060,1
