,AR,alpha,a,axf,R
top,10099,True,False,False,False
bottom,10099,False,True,False,False
top,10144,False,False,True,False
top,10226,False,False,False,True
bottom,10391,True,True,False,False
top,10547,True,True,False,True
bottom,10747,False,False,True,False
