,AR,range,sigma
0,10043,61,229.65422650601872
1,10045,48,222.62269615752356
2,10050,68,344.26118507539155
3,10099,36,166.9547185972437
4,10103,68,224.35601365879174
5,10130,21,270.06519648993094
6,10137,60,277.45727093698974
7,10144,32,228.3403982748356
8,10188,23,196.3273675522178
9,10226,68,336.5701918472534
10,10268,63,217.71552725104104
11,10274,28,218.55054872291646
12,10311,19,220.98034057607788
13,10349,56,304.6353201637088
14,10385,38,161.96883430827114
15,10391,52,229.59273830719087
16,10456,56,210.79421184389236
17,10547,56,167.60529703535343
18,10747,60,164.19856075301038
