,AR,range,sigma
0,8722,42,161.5266459831366
1,8749,39,333.9228461514411
2,8757,36,229.8169086335085
3,8760,58,292.06383027163196
4,8795,34,174.91242383379338
5,8797,53,173.79447919187342
6,8828,48,197.516754739171
7,8839,45,204.94761889072976
8,8851,58,195.56316389078216
9,8898,41,311.9536309176989
10,8900,59,286.0912256221856
11,8913,56,245.17996369181452
12,8924,63,312.8134755032461
13,8968,45,284.0472207409515
14,8972,44,256.8484809459333
15,8986,48,233.12828048870904
16,9032,40,154.4780049468042
17,9035,32,150.81469893941113
18,9063,42,150.67081151495236
19,9069,39,298.76565313554175
20,9070,67,298.5212159937822
21,9088,54,223.3713113858015
22,9103,58,225.3419381728965
23,9139,41,271.29631154419434
24,9140,45,234.42985599588945
25,9144,55,267.74355581840274
26,9154,39,281.998626751399
27,9161,33,236.70077750255004
28,9170,67,190.57283060765212
29,9192,34,196.73838862715544
30,9218,40,267.8153010781912
31,9267,26,273.93219682004525
32,9290,37,174.45422974779467
33,9291,54,212.29151079199232
34,9308,33,234.52499244272033
35,9311,67,187.33336938435988
36,9353,38,136.95525620952023
