mag,da,alpha,a,R,N0,axf,xc,yc,alphab,Dalpha,Dalphab,MSP,MSN,sar,lsep,fsep,lsize,fsize,am,elon,lead,flux,fluxp,fluxn,fint,lat,AR,spt,day
0.0,0.06236391673760392,-0.22531645824739036,6.537552329548412,16.68820315675347,0.10897303224810354,7.688288485852406e+21,47.20807891828196,36.37652104584493,-23.806270628440764,-35.426850093106495,-43.50183094158688,8.26851376171643,8.84121706539684,10.220097648892542,5.411686412460453,4.808411236432089,8.26851376171643,8.84121706539684,5.356240058956145,0.4467537244728688,1,1.3641177513787458e+21,1.2835961746915008e+21,1.4446393280659907e+21,0.16163563835997816,6,10132,1,1.0
1.0,0.08688732911262503,-0.20445113409320864,6.548038182991019,16.68820315675347,0.10897303224810354,7.688288485852406e+21,47.13339460495843,36.2532648767357,-26.198798479352625,-34.23135508089951,-45.89435879249874,8.520179324520987,9.417924051627923,10.562184636861458,5.43211498968864,5.130069647172819,8.520179324520987,9.417924051627923,5.868566415994445,0.5019557676727315,1,1.598909885437738e+21,1.5531860791795602e+21,1.6446336916959157e+21,0.1894563865557765,6,10132,1,1.0
2.0,0.11203439028895011,-0.12542132234046058,6.283701407065845,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.938464730940616,35.975563127848524,-19.731521313206553,-29.703280411753656,-39.427081626352674,8.186521622926456,9.743448432859301,11.810767685695303,5.652744248780885,6.158023436914419,8.186521622926456,9.743448432859301,6.1192906834609015,0.4453561306255426,1,1.815303289990707e+21,1.892964200525215e+21,1.737642379456199e+21,0.21509705140780722,6,10132,1,1.0
3.0,0.1289912892277007,-0.048786715857522124,6.213069958508842,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.862498425442126,35.73058238187851,-13.836382128548475,-25.312440895635383,-33.531942441694596,7.809409268844118,10.202404496886134,12.635797881468363,5.9532088380685035,6.68258904339986,7.809409268844118,10.202404496886134,5.704760151760077,0.38400321910286606,1,2.0536473034881607e+21,2.1721906440787222e+21,1.9351039628975994e+21,0.24333866525089531,6,10132,1,1.0
4.0,0.1409066957571167,0.028719863776828267,6.0875421125451155,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.75195975107407,35.5776662059746,-8.55140702306223,-20.871640998092488,-28.24696733620835,7.67546359309559,9.87152819107366,13.822433235711319,6.236014666775713,7.586418568935607,7.67546359309559,9.87152819107366,4.33713919753457,0.3328426820776406,1,2.1781938875257803e+21,2.39099589388861e+21,1.9653918811629504e+21,0.2580963110597914,6,10132,1,1.0
5.0,0.1647832228272745,0.08455095686824514,6.311443142145956,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.02862086201134,35.37799331754388,-3.521468578931081,-17.672754998352293,-23.2170288920772,7.450551194016444,8.933123244244166,15.706289576611894,7.111811594501747,8.59447798211015,7.450551194016444,8.933123244244166,3.3514458575970116,0.24719123759872008,1,2.2952264911830542e+21,2.511894798094507e+21,2.0785581842716012e+21,0.27196361802940916,6,10132,1,1.0
6.0,0.17884562138049995,0.12935276273819585,6.299192141722003,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.110053722511154,35.55035837366537,-0.1942991983545666,-15.10580060743968,-19.889859511500685,6.650881210601419,8.404259551830183,16.82727401357989,7.6072642626094735,9.220009750970416,6.650881210601419,8.404259551830183,3.5909170229775658,0.19178133910391237,1,2.4075131625444103e+21,2.638252020658308e+21,2.176774304430513e+21,0.28526857486797075,6,10132,1,1.0
7.0,0.1930748392577399,0.1513087635313151,6.262891981916613,16.68820315675347,0.10897303224810354,7.688288485852406e+21,46.181608437863055,35.99046700446911,0.7044659167140306,-13.84781442700806,-18.991094396432086,6.520824911546768,8.502188673064328,17.346822876033038,7.839071078994927,9.507751797038111,6.520824911546768,8.502188673064328,3.546830886650486,0.17193629181711456,1,2.610571628306926e+21,2.8616960313378147e+21,2.359447225276037e+21,0.30932916986041076,6,10132,1,1.0
8.0,0.21244240219995014,0.1678804655085991,6.264706628952338,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.95237996246,36.214294342992005,1.471643850772143,-12.898325844361084,-18.223916462373975,6.22723800394603,8.038058586276973,18.076935069351382,8.241523910514168,9.835411158837214,6.22723800394603,8.038058586276973,3.483280581045736,0.1372553966089627,1,2.7960975668891956e+21,3.042636277120437e+21,2.549558856657954e+21,0.3313123186646617,6,10132,1,1.0
9.0,0.23430402605444817,0.1803106506451433,6.277342831419638,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.52201672959167,36.4163424492138,2.466994707890521,-12.186128697470856,-17.228565605255596,6.725323925437031,7.653132597063845,17.8551501890876,8.076331988820789,9.77881820026681,6.725323925437031,7.653132597063845,3.5851667358313355,0.1366232492691861,1,3.111847073174248e+21,3.408561280453538e+21,2.815132865894958e+21,0.3687257845906412,6,10132,1,1.0
10.0,0.25848975632047033,0.19433618540371933,6.333958857465447,16.68820315675347,0.10897303224810354,7.688288485852406e+21,45.34476288788516,36.71049770791456,3.971766444041982,-11.38252475039041,-15.723793869104135,6.74771016472883,7.382458211028995,18.21429160464402,8.251575436360993,9.96271616828303,6.74771016472883,7.382458211028995,3.6915237152936182,0.12976288571648212,1,3.388796195692878e+21,3.7071564881762866e+21,3.070435903209469e+21,0.4015417553279838,6,10132,1,1.0
