,Unnamed: 0,da,alpha,a,R,N0,axf,xc,yc,mag,AR,lead
0,0,0.1640395613396808,-0.4711641734005312,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,54.67197186061685,54.79316915369729,0,10043,-1
1,1,0.1742817172397544,-0.5138200572269874,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,55.23737085447043,54.77852850130967,5,10043,-1
2,2,0.183233522872388,-0.5012951026294532,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,55.70926470072037,55.346336808048754,10,10043,-1
3,3,0.1994666764623475,-0.5030946114230248,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,57.12343174804029,54.12556533997599,15,10043,-1
4,4,0.1989314368687452,-0.4985616641138484,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,58.02121904329351,53.360876212845085,20,10043,-1
5,5,0.1968925990691195,-0.4685045446797053,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,59.61180277192372,52.63193605927096,25,10043,-1
6,6,0.1927599985454723,-0.4678347125525761,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,60.42500963981308,51.94747675694392,30,10043,-1
7,7,0.1967744815853566,-0.4629852047885743,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,60.49305349166677,51.93457513470979,35,10043,-1
8,8,0.2040983892396882,-0.4514735389044738,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,60.9870277597068,51.440612956014895,40,10043,-1
9,9,0.2082856541808835,-0.4396243847135422,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,60.93608781958815,50.94040511755741,45,10043,-1
10,10,0.2143056320473576,-0.4388223191457772,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,61.19529245046854,50.63410151474741,50,10043,-1
11,11,0.222179568894295,-0.4012127350187864,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,61.15587900428571,50.07897060158686,55,10043,-1
12,12,0.2231365126933755,-0.3900756627858162,9.788440180995226,52.65557515147735,0.1208912915930776,684923.6624099686,61.41121060795622,49.71038319890107,60,10043,-1
13,0,0.2678213323602064,0.4145876233006445,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,40.0162677804691,38.34458409025314,0,10045,-1
14,1,0.2010263663363759,0.3131670372435516,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,40.71113478971807,38.15701448707077,5,10045,-1
15,2,0.2122711655407445,0.2056361600819053,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,41.871346562194674,39.696890115011605,10,10045,-1
16,3,0.3396213371180328,0.298898521993868,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,42.73931615877543,39.77132443482999,15,10045,-1
17,4,0.4412298005176104,0.28624219935881,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,45.37766448405924,41.16003022064684,20,10045,-1
18,5,0.5729712737450574,0.2793945054220386,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,46.16093686428732,42.62569251054318,25,10045,-1
19,6,0.7569353173572579,0.2240468158643641,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,47.47109318718665,43.47234645368886,30,10045,-1
20,7,0.8600907089638419,0.1937612687726397,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,47.8086530693528,44.330534956915855,35,10045,-1
21,8,0.9378884944780884,0.2078879434041941,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,48.631957835103215,44.069629239082175,40,10045,-1
22,9,0.9832329812526538,0.1880045986027468,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,48.77217561994088,43.8841514406221,45,10045,-1
23,10,0.999795973319176,0.1634202056562281,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,48.50855564879748,43.839174314956686,50,10045,-1
24,11,0.8463427520307173,0.181749586287227,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,49.195830451420726,43.72537497049488,55,10045,-1
25,12,0.746673568888142,0.1703736612311152,9.12152852228956,18.90469015422085,-0.0527256329287717,306587.66279568826,49.635768240319045,44.12388907844439,60,10045,-1
26,0,0.0885746316567688,0.1053219292578691,11.57035110573814,47.87179844882359,-0.0465561490838073,915543.5460451938,68.94179824763492,36.79708472494613,0,10050,1
27,1,0.1816967188604967,-0.2142354697326154,11.57035110573814,47.87179844882359,-0.0465561490838073,915543.5460451938,65.48658738479223,38.64172544410696,5,10050,1
28,2,0.2292572464277043,-0.0783560539315401,11.57035110573814,47.87179844882359,-0.0465561490838073,915543.5460451938,64.32103387806342,39.77242035479304,10,10050,1
29,3,0.2362724834727562,8.458996779515563e-05,11.57035110573814,47.87179844882359,-0.0465561490838073,915543.5460451938,64.38803380591693,40.67057043293785,15,10050,1
30,4,0.2679468172053612,-0.0029146874935823,11.57035110573814,47.87179844882359,-0.0465561490838073,915543.5460451938,65.15001941474735,41.344505878436586,20,10050,1
31,5,0.2876813143423832,-0.0416084142124609,11.57035110573814,47.87179844882359,-0.0465561490838073,915543.5460451938,65.47029851539114,41.17321325751386,25,10050,1
32,6,0.3133794528907206,-0.0917594022835232,11.57035110573814,47.87179844882359,-0.0465561490838073,915543.5460451938,65.61716741522417,40.97452088017816,30,10050,1
33,7,0.3389063620252732,-0.1199829148643614,11.57035110573814,47.87179844882359,-0.0465561490838073,915543.5460451938,65.84692852010677,40.12681687005484,35,10050,1
