,AR,range,sigma
0,9368,61,312.2468421601396
1,9396,40,225.01588398528523
2,9399,42,163.35592459085274
3,9417,38,258.200496266022
4,9432,63,204.72076119971416
5,9441,54,248.540515498726
6,9455,60,282.55240406646243
7,9456,44,201.0270611181079
8,9484,68,253.28447981636583
9,9511,48,190.8336107026689
10,9512,48,243.7796179169296
11,9531,45,213.50557887649174
12,9548,27,227.94361625356467
13,9563,68,259.1238143866121
14,9569,49,272.3264527900576
15,9574,49,327.68597021470754
16,9660,51,143.02831455474188
17,9678,56,315.8264654549149
18,9689,34,264.7893508554694
19,9710,44,171.69048436786693
20,9748,65,306.15075167317417
21,9764,65,167.34607361360074
22,9844,65,236.5377571211789
23,9845,58,337.98256514478436
24,9873,38,155.8707393436792
25,9880,51,173.06691828462627
26,9884,63,219.06128352393813
27,9897,29,203.97642204040653
28,9906,69,337.9759066272458
29,9910,29,220.9800227103061
30,9912,68,285.18760275742636
31,9931,50,210.5005453303363
32,9978,37,296.205792773032
33,9987,64,281.33866615438365
